The following are the nodes in the knowledge graph:
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:0, Labels: Executive, Name: Mr. Kazunari  Yamaguchi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:1, Labels: Executive, Name: Mr. Kenichiro  Toyofuku
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:2, Labels: Executive, Name: Mr. Arnab  Roy
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:3, Labels: Executive, Name: Mr. Rajiv  Gandhi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:4, Labels: Executive, Name: Mr. C. V. Raman
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:5, Labels: Executive, Name: Mr. Rajesh  Uppal
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:6, Labels: Executive, Name: Mr. Randhir Singh Kalsi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:7, Labels: Executive, Name: Mr. Rahul  Bharti
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:8, Labels: Executive, Name: Ms. Manjaree  Chowdhary
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:9, Labels: Company, Name: Nestlé India Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:10, Labels: Executive, Name: Mr. Suresh  Narayanan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:11, Labels: Executive, Name: Ms. Svetlana Leonidovna Boldina
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:12, Labels: Executive, Name: Mr. Satish Dhawan Srinivasan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:13, Labels: Executive, Name: Mr. Pramod Kumar Rai
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:14, Labels: Executive, Name: Ambereen Ali Shah
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:15, Labels: Executive, Name: Mr. Sanjay  Khajuria
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:16, Labels: Executive, Name: Jagdeep  Marahar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:17, Labels: Executive, Name: Ms. Taruna  Saxena
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:18, Labels: Executive, Name: Mr. Anurag  Dikshit
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:19, Labels: Company, Name: NTPC Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:20, Labels: Executive, Name: Mr. Gurdeep  Singh
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:21, Labels: Executive, Name: Mr. Jaikumar  Srinivasan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:22, Labels: Executive, Name: Mr. Ravindra  Kumar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:23, Labels: Executive, Name: Mr. Shivam  Srivastava
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:24, Labels: Executive, Name: Mr. K. Shanmugha Sundaram
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:25, Labels: Executive, Name: Mr. Aditya  Dar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:26, Labels: Executive, Name: Ms. Ritu  Arora
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:27, Labels: Executive, Name: Mr. Anil Kumar Jadli
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:28, Labels: Executive, Name: Mr. Mahabir  Prasad
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:29, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:30, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:31, Labels: Company, Name: Oil and Natural Gas Corporation Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:32, Labels: Executive, Name: Mr. Arun Kumar Singh B.Sc., B.Sc. (Engg.)
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:33, Labels: Executive, Name: Mr. Om Prakash Singh
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:34, Labels: Executive, Name: Mr. Manish  Patil
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:35, Labels: Executive, Name: Mr. Pankaj  Kumar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:36, Labels: Executive, Name: Ms. Sushma  Rawat
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:37, Labels: Executive, Name: Mr. Vivek Chandrakant Tongaonkar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:38, Labels: Executive, Name: Mr. S.  Dhandapani
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:39, Labels: Executive, Name: Mr. Rajni Kant Jain
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:40, Labels: Executive, Name: Mr. Arunangshu  Sarkar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:41, Labels: Executive, Name: Lakhi Chand Sah
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:42, Labels: Company, Name: Power Grid Corporation of India Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:43, Labels: Executive, Name: Mr. Ravindra Kumar Tyagi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:44, Labels: Executive, Name: Mr. Ravisankar  Ganesan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:45, Labels: Executive, Name: Dr. Yatindra  Dwivedi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:46, Labels: Executive, Name: Mr. Satyaprakash  Dash
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:47, Labels: Executive, Name: Lieutenant S. R. Choudhary
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:48, Labels: Executive, Name: S.C.  Agarwal
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:49, Labels: Executive, Name: P.V.  Nath
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:50, Labels: Executive, Name: Yugesh Kumar Dixit
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:51, Labels: Executive, Name: Mr. A.  Nagaraju
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:52, Labels: Executive, Name: Mr. Dharmendra Kumar Madan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:53, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:54, Labels: Company, Name: Reliance Industries Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:55, Labels: Executive, Name: Mr. Mukesh Dhirubhai Ambani
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:56, Labels: Executive, Name: Mr. Nikhil Rasiklal Meswani
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:57, Labels: Executive, Name: Mr. Hital Rasiklal Meswani
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:58, Labels: Executive, Name: Mr. Panda Madhusudana Siva Prasad
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:59, Labels: Executive, Name: Ms. Parul  Sharma
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:60, Labels: Executive, Name: Mr. Srikanth  Venkatachari
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:61, Labels: Executive, Name: Mr. Hemen Kanu Modi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:62, Labels: Executive, Name: Ms. Savithri  Parekh
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:63, Labels: Executive, Name: Mr. Rohit  Bansal
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:64, Labels: Executive, Name: Mr. Mukund  Pendse
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:65, Labels: Company, Name: SBI Life Insurance Company Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:66, Labels: Executive, Name: Mr. Amit  Jhingran
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:67, Labels: Executive, Name: Mr. Sangramjit  Sarangi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:68, Labels: Executive, Name: Mr. Girish Mahesh Manik
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:69, Labels: Executive, Name: Mr. M.  Anand
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:70, Labels: Executive, Name: Mr. G.  Durgadas
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:71, Labels: Executive, Name: Mr. Gopikrishna  Shenoy
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:72, Labels: Executive, Name: Mr. Ravindra  Sharma
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:73, Labels: Executive, Name: Mr. Subodh Kumar Jha
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:74, Labels: Executive, Name: Mr. Abhijit  Gulanikar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:75, Labels: Executive, Name: Smita  Verma
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:76, Labels: Company, Name: State Bank of India
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:77, Labels: Executive, Name: Mr. Ashwini Kumar Tewari
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:78, Labels: Executive, Name: Mr. Vinay M. Tonse
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:79, Labels: Executive, Name: Mr. Kameshwar Rao Kodavanti
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:80, Labels: Executive, Name: Mr. Pravin  Raghavendra
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:81, Labels: Executive, Name: Mr. Rana Ashutosh Kumar Singh
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:82, Labels: Executive, Name: Mr. Binod Kumar Mishra
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:83, Labels: Executive, Name: Ms. Saloni  Narayan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:84, Labels: Executive, Name: Mr. Nitin  Chugh
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:85, Labels: Executive, Name: Ms. Ruma  Dey
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:86, Labels: Executive, Name: Ms. Vidya  Krishnan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:87, Labels: Company, Name: Shriram Finance Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:88, Labels: Executive, Name: Mr. Yalamati Srinivasa Chakravarti B.Com.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:89, Labels: Executive, Name: Mr. Umesh Govind Revankar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:90, Labels: Executive, Name: Mr. Parag  Sharma
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:91, Labels: Executive, Name: Mr. Ramasubramanian  Chandrasekar B.Com., ICWA
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:92, Labels: Executive, Name: Mr. S.  Sunder
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:93, Labels: Executive, Name: Mr. Hardeep  Singh Tur
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:94, Labels: Executive, Name: Mr. Abhilash  Tewari
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:95, Labels: Executive, Name: Mr. Balasundararao  Uppu
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:96, Labels: Company, Name: Sun Pharmaceutical Industries Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:97, Labels: Executive, Name: Mr. Dilip Shantilal Shanghvi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:98, Labels: Executive, Name: Mr. Aalok Dilip Shanghvi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:99, Labels: Executive, Name: Mr. C. S. Muralidharan ICWA, M.Com
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:100, Labels: Executive, Name: Mr. Davinder  Singh
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:101, Labels: Executive, Name: Mr. Dheeraj Prasad Sinha BE
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:102, Labels: Executive, Name: Dr. Abhishek  Sharma
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:103, Labels: Executive, Name: Mr. Anoop  Deshpande
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:104, Labels: Executive, Name: Mr. Kalyanasundaram  Subramanian
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:105, Labels: Executive, Name: Mr. Suresh Kumar Rai
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:106, Labels: Executive, Name: Mr. Kirti Wardhaman Ganorkar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:107, Labels: Company, Name: Tata Consumer Products Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:108, Labels: Executive, Name: Mr. Sunil Alaric D'Souza
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:109, Labels: Executive, Name: Mr. Ajit Sukumar Krishna Kumar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:110, Labels: Executive, Name: Mr. Sivakumar  Sivasankaran
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:111, Labels: Executive, Name: Mr. Punit  Gupta
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:112, Labels: Executive, Name: Mr. Ashish  Goenka
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:113, Labels: Executive, Name: Mr. S. K. Roychaudhuri
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:114, Labels: Executive, Name: Ms. Nidhi  Verma
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:115, Labels: Executive, Name: Mr. Rishi  Gautam
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:116, Labels: Executive, Name: Ms. Delnaz Dara Harda
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:117, Labels: Executive, Name: Mr. Tarun N P Varma
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:118, Labels: Company, Name: Tata Motors Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:119, Labels: Executive, Name: Mr. Pathamadai Balachandran Balaji
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:120, Labels: Executive, Name: Mr. Maloy Kumar Gupta
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:121, Labels: Executive, Name: Mr. Girish Arun Wagh
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:122, Labels: Executive, Name: Mr. Petkar M. Rajendra
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:123, Labels: Executive, Name: Mr. Rajesh  Kannan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:124, Labels: Executive, Name: Ms. Namrata  Divekar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:125, Labels: Executive, Name: Mr. Sudeep  Bhalla
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:126, Labels: Executive, Name: Mr. Shubhranshu  Singh
